PASS  SAMPLE the kit modules loaded with teams, garments and items to grade  | 32 teams, 8 garments, 256 items, catalogue 626 deep
PASS  TEAMS ids and names are unique, so no team overwrites another in FOOTBALL_TEAM_BY_ID  | 32 distinct
PASS  HEX every primary and secondary is a full 6-digit hex, which is what the CSS background and the composite below both assume  | 64 colours parse
PASS  PAIR no two teams share a colour pair, and every two pairs are at least 12 CIE76 apart (a-a plus b-b), so two discs read apart at 24px  | 496 pairs, closest cinderfall-crows vs mudflat-minotaurs at pair dE 17.59
PASS  PAIR-HEADER data/football-teams.js still records the measured minimum (17.59)  | header says min 17.59, measured 17.59
PASS  LEGIBLE every team's two colours are at least 40 CIE76 apart and not identical, so the stripe reads on the shell and the disc shows two halves  | 32 teams, tightest shalebank-skates at dE 44.46
PASS  LEGIBLE-HEADER data/football-teams.js still records the measured minimum (44.46)  | header says min 44.46, measured 44.46
PASS  ITEMS FOOTBALL_ITEMS is exactly teams x garments, so no team lost a piece and no piece was generated twice  | 256 items, expected 32 x 8 = 256
PASS  ITEM-IDS every id is the stable `fb-<team>-<garment>`, which is what a save file holds  | 256 unique ids, e.g. fb-boneyard-bruisers-helmet
PASS  ASSETS every master and mask the catalogue references is a file on disk  | 23 distinct paths, all present
PASS  ASSETS-CONTROL the same existence check reports a path that is deliberately not there  | assets/bh/football/no-such-garment.mask-a.png -> missing (correct), assets/bh/football/helmet.png -> present (correct)
PASS  TINT master x team hex through the mask lands within [30%,100%] of the hex (+-20/255), over 3 teams x 8 garments  | 45 samples, worst 0.00/255
PASS  REGIONS a garment is declared one-colour exactly when its secondary mask is empty, and gets exactly that many tint layers  | helmet:4541 visor25:4541 visor60:4541 visor90:4541 jersey:2488 cleats 1-colour:0 pet-helmet:521 pet-jersey:579
PASS  CLEATS the cleats take the team PRIMARY on all 32 teams, within [30%,100%] of it (+-20/255), and are one colour BY THE ART (mask-b is empty, see REGIONS)  | 32 teams x 5074 core px, worst 0.00/255, one tint layer (mask-a only)
PASS  PET-TINT both lizard garments carry BOTH team colours on all 32 teams, within [30%,100%] of it (+-20/255)  | 128 samples, worst 0.00/255, smallest region 297px
PASS  PET-SPECIES both lizard garments fit both lizard species, a shiny is the same species id (so it inherits), and the two crops sit on the same frame  | pet-helmet + pet-jersey x C4, CX; no shiny species id in the catalogue (0); C4 vs CX crop boxes differ by at most 0.0032 of the square
PASS  GATE the kit is LIVE, so every piece is in the rotating pool and resolvable  | 256 released, 256 in BH_ITEMS, 256 resolvable
PASS  SHELF the shop renders footballShelfHtml only behind FOOTBALL_KIT_LIVE  | js/app.js: `${FOOTBALL_KIT_LIVE ? footballShelfHtml(...) : ''}`
PASS  VISOR-EYES the three blocked eye items are real E-slot items in the catalogue, not stale ids  | E11-1=Red Lasers (E), E11-2=Blue Lasers (E), ES22=Rainbow Band (E)
PASS  VISOR-HIDE under 'hide' the renderer skips exactly the clashing eyes, and only under a visor  | E11-1 under fb-boneyard-bruisers-visor90 hidden; E1 under the same visor drawn; E11-1 under the open helmet drawn; equip not refused
PASS  VISOR-REFUSE under 'refuse' equip() is told no for exactly the same pair, and the renderer stops hiding  | E11-1 + fb-boneyard-bruisers-visor90 refused; the two legal pairs allowed; nothing hidden under this policy
PASS  VISOR-CLIP under 'clip' the clashing eye layer is masked by the worn visor's own master, and only under a visor  | E11-1 under fb-boneyard-bruisers-visor90 clipped to assets/bh/football/visor90.png (on disk); E1 and the open helmet unmasked; nothing hidden and nothing refused under this policy
PASS  VISOR-CLIP-WIRED the E layer really carries the mask, and app.css registers it off the surface's own --av-fit  | js/app.js avatarLayersHtml -> visorClipMask + .eye-clip + --fbm; app.css .eye-clip -> mask-image: var(--fbm) at var(--av-fit)
PASS  VISOR-LIVE VISOR_EYES_POLICY is one of the three branches graded above  | live policy is 'clip'
PASS  POSTER-TOGGLE the football kit poster's <summary> never overrides display away from block; the side-by-side layout lives on .fb-drop-row instead  | app.css .t3-drop.fb-drop -> no display override (stays block); .fb-drop-row -> display: flex; js/app.js markup -> summary wraps fb-hero/tx in .fb-drop-row
PASS  GRANT one helmet is that helmet and its three visors in all 32 teams; one jersey is that jersey in all 32 and nothing else  | helmet -> 128 ids over 32 teams x 4 keys (helmet visor25 visor60 visor90); jersey -> 32 ids, keys jersey; expected 128 and 32
PASS  SHELF-DATA the shop shelf is exactly the five sold garments, each with a label, a slot and a finite price  | 5 tiles: Helmet (H) 4200 · Jersey (T) 4200 · Cleats (FW) 4200 · Lizard Helmet (CH) 4200 pets:C4/CX · Lizard Jersey (CT) 4200 pets:C4/CX; FOOTBALL_SOLD is 5 deep, 2 of them pet garments
